ID: 2, Timestamp: 1.671756, Drone Position: (-347.72, 45.00, -107.38), Speed: 8.458779, Camera Position: (-103.26, 1.75, -107.32), Camera Rotation: (355.50, 266.81, 1.56), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.686246, Drone Position: (-347.59, 45.00, -107.38), Speed: 8.531231, Camera Position: (-103.26, 1.75, -107.32), Camera Rotation: (355.57, 266.89, 1.40), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.699955, Drone Position: (-347.48, 45.00, -107.38), Speed: 8.599776, Camera Position: (-103.26, 1.75, -107.32), Camera Rotation: (355.55, 266.98, 1.30), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.71346, Drone Position: (-347.36, 45.00, -107.38), Speed: 8.667301, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.54, 267.08, 1.24), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.727136, Drone Position: (-347.24, 45.00, -107.38), Speed: 8.735679, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.65, 267.21, 1.14), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.741017, Drone Position: (-347.12, 45.00, -107.38), Speed: 8.805087, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.81, 267.38, 1.02), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.755292, Drone Position: (-346.99, 45.00, -107.38), Speed: 8.876458, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.03, 267.61, 0.87), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.769574, Drone Position: (-346.86, 45.00, -107.38), Speed: 8.947872, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.21, 267.83, 0.82), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.78356, Drone Position: (-346.74, 45.00, -107.38), Speed: 9.017797, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.32, 268.02, 0.83), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.797344, Drone Position: (-346.61, 45.00, -107.38), Speed: 9.08672, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.37, 268.18, 0.83), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.811362, Drone Position: (-346.48, 45.00, -107.38), Speed: 9.156811, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.41, 268.34, 0.75), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.825135, Drone Position: (-346.36, 45.00, -107.38), Speed: 9.225673, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.40, 268.55, 0.59), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.839139, Drone Position: (-346.23, 45.00, -107.38), Speed: 9.295697, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.47, 268.80, 0.48), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.852812, Drone Position: (-346.10, 45.00, -107.38), Speed: 9.364059, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.55, 269.03, 0.51), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.866889, Drone Position: (-345.97, 45.00, -107.38), Speed: 9.434447, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.52, 269.24, 0.63), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.881121, Drone Position: (-345.83, 45.00, -107.38), Speed: 9.505608, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.36, 269.38, 0.76), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.894953, Drone Position: (-345.70, 45.00, -107.38), Speed: 9.574766, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.15, 269.47, 0.83), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.908713, Drone Position: (-345.56, 45.00, -107.38), Speed: 9.643566, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (356.03, 269.54, 0.82), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.922625, Drone Position: (-345.43, 45.00, -107.38), Speed: 9.713125, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.98, 269.61, 0.75), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.936693, Drone Position: (-345.29, 45.00, -107.38), Speed: 9.783463, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.96, 269.70, 0.67), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.950248, Drone Position: (-345.16, 45.00, -107.38), Speed: 9.851239, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.95, 269.78, 0.56), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.964731, Drone Position: (-345.01, 45.00, -107.38), Speed: 9.923657, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.87, 269.88, 0.47), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.97872, Drone Position: (-344.87, 45.00, -107.38), Speed: 9.993598, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.76, 270.01, 0.40), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.99251, Drone Position: (-344.74, 45.00, -107.38), Speed: 10.06255, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.64, 270.16, 0.35), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 2.006798, Drone Position: (-344.59, 45.00, -107.38), Speed: 10.13399, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.52, 270.27, 0.34), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 2.021087, Drone Position: (-344.45, 45.00, -107.38), Speed: 10.20543, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.43, 270.37, 0.34), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 2.034473, Drone Position: (-344.31, 45.00, -107.38), Speed: 10.27236, Camera Position: (-103.25, 1.75, -107.32), Camera Rotation: (355.38, 270.42, 0.39), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
